Aggregate,source,DAG,Binder,AV,PS
26.5,15,4.9,822,3.358,1.097
26.5,15,4.9,822,2.884,1.022
26.5,15,5.99,822,6.953,2.934
26.5,15,5.99,822,6.03,1.813
26.5,15,5.99,822,4.129,1.383
26.5,15,5.99,822,3.571,1.198
26.5,15,5.99,822,2.435,1.223
26.5,15,5.37,1415,7.477,1.502
26.5,15,5.37,1415,5.617,1.389
26.5,15,5.37,1415,4.104,1.283
26.5,15,5.37,1415,3.448,0.875
26.5,15,5.37,1415,2.973,0.662
26.5,15,5.93,1415,7.115,1.366
26.5,15,5.93,1415,5.554,1.219
26.5,15,5.93,1415,4.079,1.049
26.5,15,5.93,1415,3.325,1.08
26.5,15,5.93,1415,2.895,0.613
26.5,15,4.84,1415,7.093,2.817
26.5,15,4.84,1415,5.823,2.254
26.5,15,4.84,1415,3.968,1.545
26.5,15,4.84,1415,3.551,1.354
26.5,15,4.84,1415,2.465,1.213
26.5,15,4.9,1415,7.254,1.797
26.5,15,4.9,1415,5.668,1.591
26.5,15,4.9,1415,4.121,0.935
26.5,15,4.9,1415,3.469,1.066
26.5,15,4.9,1415,2.997,0.779
26.5,15,5.99,1415,6.994,2.529
26.5,15,5.99,1415,5.809,1.768
26.5,15,5.99,1415,4.087,1.404
26.5,15,5.99,1415,3.529,1.168
26.5,15,5.99,1415,2.917,1.258
26.5,15,5.37,3321,7.177,1.3
26.5,15,5.37,3321,5.631,1.23
26.5,15,5.37,3321,4.032,1.117
26.5,15,5.37,3321,3.472,0.687
26.5,15,5.37,3321,3,0.575
26.5,15,5.93,3321,6.954,1.17
26.5,15,5.93,3321,5.577,0.85
26.5,15,5.93,3321,3.944,0.875
26.5,15,5.93,3321,3.361,0.986
26.5,15,5.93,3321,2.983,0.593
26.5,15,4.84,3321,7.193,2.297
26.5,15,4.84,3321,5.843,2.679
26.5,15,4.84,3321,4.232,1.303
26.5,15,4.84,3321,3.589,1.111
26.5,15,4.84,3321,3.078,1.003
26.5,15,4.9,3321,5.758,1.703
26.5,15,4.9,3321,4.036,1.405
26.5,15,4.9,3321,3.479,1.149
26.5,15,4.9,3321,3.01,0.904
26.5,15,4.9,3321,7.051,0.724
26.5,15,5.99,3321,5.606,2.152
26.5,15,5.99,3321,4.126,1.846
26.5,15,5.99,3321,3.517,1.385
26.5,15,5.99,3321,2.956,1.179
26.5,15,5.99,3321,7.161,0.892
26.5,25,5.27,822,6.846,1.861
26.5,25,5.27,822,5.318,1.43
26.5,25,5.27,822,4.007,1.116
26.5,25,5.27,822,3.383,0.865
26.5,25,5.27,822,2.841,0.978
26.5,25,5.79,822,6.77,2.204
26.5,25,5.79,822,5.234,1.29
26.5,25,5.79,822,4.094,1.131
26.5,25,5.79,822,3.333,0.954
26.5,25,5.79,822,2.834,0.874
26.5,25,4.71,822,6.93,3.509
26.5,25,4.71,822,5.431,2.418
26.5,25,4.71,822,4.014,2.116
26.5,25,4.71,822,3.488,2.241
26.5,25,4.71,822,2.417654873,2.213
26.5,25,4.75,822,6.895,2.39
26.5,25,4.75,822,5.378,2.124
26.5,25,4.75,822,4.032,1.642
26.5,25,4.75,822,3.412,1.731
26.5,25,4.75,822,2.374562622,1.912
26.5,25,5.82,822,6.917,3.298
26.5,25,5.82,822,5.415,2.54
26.5,25,5.82,822,4.039,1.869
26.5,25,5.82,822,3.424,1.265
26.5,25,5.82,822,2.891,1.331
26.5,25,5.27,1415,6.865,2.018
26.5,25,5.27,1415,5.341,1.317
26.5,25,5.27,1415,4.033,0.851
26.5,25,5.27,1415,3.455,1.299
26.5,25,5.27,1415,2.87,0.792
26.5,25,5.79,1415,6.787,2.171
26.5,25,5.79,1415,5.254,1.296
26.5,25,5.79,1415,4.027,1.03
26.5,25,5.79,1415,3.402,0.889
26.5,25,5.79,1415,2.859,0.765
26.5,25,4.71,1415,6.913,3.275
26.5,25,4.71,1415,5.42,2.401
26.5,25,4.71,1415,4.052,1.91
26.5,25,4.71,1415,3.528,1.733
26.5,25,4.71,1415,2.285,1.912
26.5,25,4.75,1415,6.887,1.719
26.5,25,4.75,1415,5.377,1.907
26.5,25,4.75,1415,4.037,1.438
26.5,25,4.75,1415,3.464,1.132
26.5,25,4.75,1415,2.386,1.897
26.5,25,5.82,1415,6.889,3.221
26.5,25,5.82,1415,5.389,2.156
26.5,25,5.82,1415,4.014,1.947
26.5,25,5.82,1415,3.488,1.264
26.5,25,5.82,1415,2.911,1.397
