GRADATION,AGG SOURCE,BINDER,DAG,AV,"ITS (Dry), kPa","ITS (wet), kpa"
26.5,17,592,4.9,7.051,1684.748,1526.682
26.5,17,592,5.99,5.606,1506.188,1245.665
26.5,17,592,5.99,3.517,1477.612,1305.524
26.5,17,592,5.99,7.161,1623.985,1500.278
26.5,24,389,5.27,6.846,973.077,693.41
26.5,24,389,5.27,4.007,1110.265,826.345
26.5,24,389,5.27,2.841,1168.099,905.502
26.5,24,389,5.79,6.77,1025.297,694.206
26.5,24,389,5.79,4.094,1165.421,886.875
26.5,24,389,5.79,2.834,1297.186,975.257
26.5,24,389,4.71,6.93,783.867,587.146
26.5,24,389,4.71,4.014,881.711,699.953
26.5,24,389,4.71,2.417654873,953.096,771.023
26.5,24,389,4.75,6.895,877.132,625.041
26.5,24,389,4.75,4.032,998.84,743.414
26.5,24,389,4.75,2.374562622,1123.692,871.079
26.5,24,389,5.82,6.917,821.482,603.489
26.5,24,389,5.82,4.039,950.152,729.048
26.5,24,389,5.82,2.891,1039.297,830.573
26.5,24,489,5.27,6.865,1095.87,782.972
26.5,24,489,5.27,4.033,1283.361,988.574
26.5,24,489,5.27,2.87,1403.951,1086.432
26.5,24,489,5.79,6.787,1161.15,806.426
26.5,24,489,5.79,4.027,1294.073,964.573
26.5,24,489,5.79,2.859,1524.489,1180.949
26.5,24,489,4.71,6.913,880.357,693.325
26.5,24,489,4.71,4.052,1061.114,852.454
26.5,24,489,4.71,2.285,1212.315,994.723
26.5,24,489,4.75,6.887,1009.056,720.946
26.5,24,489,4.75,4.037,1161.364,894.599
26.5,24,489,4.75,2.386,1341.307,1037.955
26.5,24,489,5.82,6.889,934.508,688.333
26.5,24,489,5.82,4.014,1291.012,1025.224
26.5,24,489,5.82,2.911,1257.101,1002.88
26.5,24,592,5.27,6.939,1329.755,1017.442
26.5,24,592,5.27,4.037,1441.409,1134.146
26.5,24,592,5.27,2.878,1681.632,1400.415
26.5,24,592,5.79,6.829,1346.039,1001.749
26.5,24,592,5.79,4.079,1544.642,1294.841
26.5,24,592,5.79,2.869,1681.013,1382.084
26.5,24,592,4.71,7.056,1127.369,885.751
26.5,24,592,4.71,4.012,1305.55,1095.826
26.5,24,592,4.71,2.233,1434.126,1258.638
26.5,24,592,4.75,6.965,1220.548,933.883
26.5,24,592,4.75,4.047,1324.892,1042.467
26.5,24,592,4.75,2.899,1511.484,1258.721
26.5,24,592,5.82,7.038,1212.489,956.409
26.5,24,592,5.82,4.009,1325.651,1075.323
26.5,24,592,5.82,2.911,1456.97,1250.848
