,,Binder,DAG,air_voids,CT avg
26.5,17,489,4.9,90,34.33
26.5,17,489,4.9,110,26.305
26.5,17,489,5.99,35,73.84
26.5,17,489,5.99,50,81.74
26.5,17,489,5.99,75,71.765
26.5,17,489,5.99,90,56.72
26.5,17,489,5.99,110,55.57
26.5,17,592,5.37,35,101.945
26.5,17,592,5.37,50,88.695
26.5,17,592,5.37,75,91.085
26.5,17,592,5.37,90,71.315
26.5,17,592,5.37,110,68.145
26.5,17,592,5.93,35,107.63
26.5,17,592,5.93,50,107.445
26.5,17,592,5.93,75,96.89
26.5,17,592,5.93,90,87.53
26.5,17,592,5.93,110,75.95
26.5,17,592,4.84,35,84.32
26.5,17,592,4.84,50,69.98
26.5,17,592,4.84,75,64.885
26.5,17,592,4.84,90,59.37
26.5,17,592,4.84,110,55.08
26.5,17,592,4.9,35,82.76
26.5,17,592,4.9,50,78.675
26.5,17,592,4.9,75,78.155
26.5,17,592,4.9,90,53.93
26.5,17,592,4.9,110,58.71
26.5,17,592,5.99,35,127.53
26.5,17,592,5.99,50,104.525
26.5,17,592,5.99,75,111.55
26.5,17,592,5.99,90,98.155
26.5,17,592,5.99,110,81.27
26.5,24,389,5.27,35,34.07
26.5,24,389,5.27,50,41.04
26.5,24,389,5.27,75,24.845
26.5,24,389,5.27,90,23.48
26.5,24,389,5.27,110,20.98
26.5,24,389,5.79,35,45.175
26.5,24,389,5.79,50,33.315
26.5,24,389,5.79,75,29.345
26.5,24,389,5.79,90,26.63
26.5,24,389,5.79,110,28.43
26.5,24,389,4.71,35,31.085
26.5,24,389,4.71,50,24.375
26.5,24,389,4.71,75,19.26
26.5,24,389,4.71,90,16.485
26.5,24,389,4.71,110,13.175
26.5,24,389,4.75,35,25.48
26.5,24,389,4.75,50,27.52
26.5,24,389,4.75,75,29.84
26.5,24,389,4.75,90,18.675
26.5,24,389,4.75,110,15.5
26.5,24,389,5.82,35,39.355
26.5,24,389,5.82,50,36.63
26.5,24,389,5.82,75,32.685
26.5,24,389,5.82,90,25.415
26.5,24,389,5.82,110,27.79
26.5,24,489,5.27,35,43
26.5,24,489,5.27,50,28.4
26.5,24,489,5.27,75,36.295
26.5,24,489,5.27,90,33.6
26.5,24,489,5.27,110,30.61
26.5,24,489,5.79,35,51.125
26.5,24,489,5.79,50,56.24
26.5,24,489,5.79,75,42.74
26.5,24,489,5.79,90,39.955
26.5,24,489,5.79,110,24.86
26.5,24,489,4.71,35,26.575
26.5,24,489,4.71,50,33.88
26.5,24,489,4.71,75,28.14
26.5,24,489,4.71,90,25.54
26.5,24,489,4.71,110,23.87
26.5,24,489,4.75,35,37.575
26.5,24,489,4.75,50,32.235
26.5,24,489,4.75,75,19.63
26.5,24,489,4.75,90,40.93
26.5,24,489,4.75,110,25.34
26.5,24,489,5.82,35,62.39
26.5,24,489,5.82,50,48.19
26.5,24,489,5.82,75,51.19
26.5,24,489,5.82,90,41.39
26.5,24,489,5.82,110,43.54
26.5,24,592,5.27,35,45.28
26.5,24,592,5.27,50,60.45
26.5,24,592,5.27,75,47.89
26.5,24,592,5.27,90,50.595
26.5,24,592,5.27,110,29.08
26.5,24,592,5.79,35,76.525
26.5,24,592,5.79,50,71.875
26.5,24,592,5.79,75,64.395
26.5,24,592,5.79,90,61.275
26.5,24,592,5.79,110,50.675
26.5,24,592,4.71,35,55.985
26.5,24,592,4.71,50,45.03
26.5,24,592,4.71,75,40.165
26.5,24,592,4.71,90,32.27
26.5,24,592,4.71,110,16.565
26.5,24,592,4.75,35,63.86
26.5,24,592,4.75,50,54.88
26.5,24,592,4.75,75,53.89
26.5,24,592,4.75,90,22.55
26.5,24,592,4.75,110,42.335
26.5,24,592,5.82,35,95.265
26.5,24,592,5.82,50,80.065
26.5,24,592,5.82,75,72.88
26.5,24,592,5.82,90,59.97
26.5,24,592,5.82,110,66.755
