GRADATION,AGG SOURCE,BINDER,DAG,AV,CT avg
26.5,17,822,4.9,3.358,25.455
26.5,17,822,4.9,2.884,13.285
26.5,17,822,5.99,6.953,50.455
26.5,17,822,5.99,6.03,58.42
26.5,17,822,5.99,4.129,44.1
26.5,17,822,5.99,3.571,28.86
26.5,17,822,5.99,2.435,28.115
26.5,17,1415,5.37,7.477,51.585
26.5,17,1415,5.37,5.617,71.87
26.5,17,1415,5.37,4.104,40.84
26.5,17,1415,5.37,3.448,30.88
26.5,17,1415,5.37,2.973,25.965
26.5,17,1415,5.93,7.115,73.345
26.5,17,1415,5.93,5.554,45.62
26.5,17,1415,5.93,4.079,51.93
26.5,17,1415,5.93,3.325,60.13
26.5,17,1415,5.93,2.895,33.655
26.5,17,1415,4.84,7.093,43.01
26.5,17,1415,4.84,5.823,25.33
26.5,17,1415,4.84,3.968,30.29
26.5,17,1415,4.84,3.551,23.085
26.5,17,1415,4.84,2.465,15.26
26.5,17,1415,4.9,7.254,38.755
26.5,17,1415,4.9,5.668,56.855
26.5,17,1415,4.9,4.121,35.28
26.5,17,1415,4.9,3.469,25.21
26.5,17,1415,4.9,2.997,21.195
26.5,17,1415,5.99,6.994,59.56
26.5,17,1415,5.99,5.809,48.12
26.5,17,1415,5.99,4.087,56.33
26.5,17,1415,5.99,3.529,49.81
26.5,17,1415,5.99,2.917,45.2
26.5,17,3321,5.37,7.177,62.53
26.5,17,3321,5.37,5.631,43.015
26.5,17,3321,5.37,4.032,59.98
26.5,17,3321,5.37,3.472,50.275
26.5,17,3321,5.37,3,44.875
26.5,17,3321,5.93,6.954,68.7
26.5,17,3321,5.93,5.577,73.22
26.5,17,3321,5.93,3.944,66
26.5,17,3321,5.93,3.361,52.85
26.5,17,3321,5.93,2.983,52.19
26.5,17,3321,4.84,7.193,56.805
26.5,17,3321,4.84,5.843,41.27
26.5,17,3321,4.84,4.232,49.42
26.5,17,3321,4.84,3.589,41.86
26.5,17,3321,4.84,3.078,38.83
26.5,17,3321,4.9,5.758,64.9
26.5,17,3321,4.9,4.036,35.76
26.5,17,3321,4.9,3.479,51.47
26.5,17,3321,4.9,3.01,35.51
26.5,17,3321,4.9,7.051,42.8
26.5,17,3321,5.99,5.606,72.12
26.5,17,3321,5.99,4.126,73.69
26.5,17,3321,5.99,3.517,89.9
26.5,17,3321,5.99,2.956,64.64
26.5,17,3321,5.99,7.161,56.71
26.5,24,822,5.27,6.846,36.465
26.5,24,822,5.27,5.318,26.21
26.5,24,822,5.27,4.007,27.765
26.5,24,822,5.27,3.383,22.54
26.5,24,822,5.27,2.841,24.13
26.5,24,822,5.79,6.77,45.735
26.5,24,822,5.79,5.234,41.085
26.5,24,822,5.79,4.094,34.05
26.5,24,822,5.79,3.333,28.12
26.5,24,822,5.79,2.834,21.26
26.5,24,822,4.71,6.93,25.13
26.5,24,822,4.71,5.431,21.505
26.5,24,822,4.71,4.014,20.61
26.5,24,822,4.71,3.488,18.95
26.5,24,822,4.71,2.417654873,18.98
26.5,24,822,4.75,6.895,30.325
26.5,24,822,4.75,5.378,25.48
26.5,24,822,4.75,4.032,23.55
26.5,24,822,4.75,3.412,20.34
26.5,24,822,4.75,2.374562622,18.17
26.5,24,822,5.82,6.917,52.025
26.5,24,822,5.82,5.415,34.69
26.5,24,822,5.82,4.039,33.775
26.5,24,822,5.82,3.424,30.795
26.5,24,822,5.82,2.891,26.76
26.5,24,1415,5.27,6.865,44.23
26.5,24,1415,5.27,5.341,31.795
26.5,24,1415,5.27,4.033,33.73
26.5,24,1415,5.27,3.455,27.325
26.5,24,1415,5.27,2.87,22.97
26.5,24,1415,5.79,6.787,51.13
26.5,24,1415,5.79,5.254,45.62
26.5,24,1415,5.79,4.027,37.855
26.5,24,1415,5.79,3.402,33.18
26.5,24,1415,5.79,2.859,24.86
26.5,24,1415,4.71,6.913,29.31
26.5,24,1415,4.71,5.42,25.335
26.5,24,1415,4.71,4.052,22.085
26.5,24,1415,4.71,3.528,20.455
26.5,24,1415,4.71,2.285,20.315
26.5,24,1415,4.75,6.887,33.23
26.5,24,1415,4.75,5.377,27.22
26.5,24,1415,4.75,4.037,27.47
26.5,24,1415,4.75,3.464,23.73
26.5,24,1415,4.75,2.386,21.195
26.5,24,1415,5.82,6.889,55.2
26.5,24,1415,5.82,5.389,38.705
26.5,24,1415,5.82,4.014,37.335
26.5,24,1415,5.82,3.488,33.945
26.5,24,1415,5.82,2.911,29.67
26.5,24,3321,5.27,6.939,57.805
26.5,24,3321,5.27,5.382,42.655
26.5,24,3321,5.27,4.037,50.18
26.5,24,3321,5.27,3.505,40.7
26.5,24,3321,5.27,2.878,57.355
26.5,24,3321,5.79,6.829,72.54
26.5,24,3321,5.79,5.302,63.32
26.5,24,3321,5.79,4.079,51.56
26.5,24,3321,5.79,3.411,44.905
26.5,24,3321,5.79,2.869,33.95
26.5,24,3321,4.71,7.056,51.835
26.5,24,3321,4.71,5.474,41.445
26.5,24,3321,4.71,4.012,32.885
26.5,24,3321,4.71,3.573,31.06
26.5,24,3321,4.71,2.233,28.955
26.5,24,3321,4.75,6.965,52.255
26.5,24,3321,4.75,5.422,45.145
26.5,24,3321,4.75,4.047,36.57
26.5,24,3321,4.75,3.52,30.48
26.5,24,3321,4.75,2.899,24.54
26.5,24,3321,5.82,7.038,84.485
26.5,24,3321,5.82,5.464,61.015
26.5,24,3321,5.82,4.009,59.19
26.5,24,3321,5.82,3.529,50.84
26.5,24,3321,5.82,2.911,49.97
