GRADATION,SOURCE,BINDER,DAG,AV,PS avg
19,24,3321.791,5.32,2.902,0.8217
19,24,3321.791,6.5,7.14,3.011182
19,24,3321.791,6.5,5.632,2.366048
19,24,3321.791,6.5,4.074,1.071
19,24,3321.791,6.5,3.253,1.57102
19,24,3321.791,6.5,3.384,1.64535
26.5,17,822.0529,5.37,7.129,2.137184
26.5,17,822.0529,5.37,5.61,1.944118
26.5,17,822.0529,5.37,4.089,1.366052
26.5,17,822.0529,5.37,3.428,1.105696
26.5,17,822.0529,5.37,3.19,1.036202
26.5,17,822.0529,5.93,7.189,2.842169
26.5,17,822.0529,5.93,5.515,1.822447
26.5,17,822.0529,5.93,3.987,1.399447
26.5,17,822.0529,5.93,3.323,1.203067
26.5,17,822.0529,5.93,2.795,1.124877
26.5,17,822.0529,4.84,7.067,1.796078
26.5,17,822.0529,4.84,5.794,1.216175
26.5,17,822.0529,4.84,3.935,1.005677
26.5,17,822.0529,4.84,3.377,0.852839
26.5,17,822.0529,4.84,2.427,0.830106
26.5,17,822.0529,4.9,7.241,1.792322
26.5,17,822.0529,4.9,5.833,1.446101
26.5,17,822.0529,4.9,4.105,1.317971
26.5,17,822.0529,4.9,3.358,0.885728
26.5,17,822.0529,4.9,2.884,0.717609
26.5,17,822.0529,5.99,6.953,2.833484
26.5,17,822.0529,5.99,6.03,2.331455
26.5,17,822.0529,5.99,4.129,1.62038
26.5,17,822.0529,5.99,3.571,1.315825
26.5,17,822.0529,5.99,2.435,1.253748
26.5,17,1415.147,5.37,7.477,1.797385
26.5,17,1415.147,5.37,5.617,1.591302
26.5,17,1415.147,5.37,4.104,1.293486
26.5,17,1415.147,5.37,3.448,1.066428
26.5,17,1415.147,5.37,2.973,0.779051
26.5,17,1415.147,5.93,7.115,2.528604
26.5,17,1415.147,5.93,5.554,1.768114
26.5,17,1415.147,5.93,4.079,1.404183
26.5,17,1415.147,5.93,3.325,1.257807
26.5,17,1415.147,5.93,2.895,1.167984
26.5,17,1415.147,4.84,7.093,1.365852
26.5,17,1415.147,4.84,5.823,1.218755
26.5,17,1415.147,4.84,3.968,1.049215
26.5,17,1415.147,4.84,3.551,0.9
26.5,17,1415.147,4.84,2.465,0.613388
26.5,17,1415.147,4.9,7.254,1.502437
26.5,17,1415.147,4.9,5.668,1.389136
26.5,17,1415.147,4.9,4.121,1.283247
26.5,17,1415.147,4.9,3.469,0.875013
26.5,17,1415.147,4.9,2.997,0.66246
26.5,17,1415.147,5.99,6.994,2.817136
26.5,17,1415.147,5.99,5.809,2.253709
26.5,17,1415.147,5.99,4.087,1.544601
26.5,17,1415.147,5.99,3.529,1.354093
26.5,17,1415.147,5.99,2.917,1.314943
26.5,17,3321.791,5.37,7.177,1.702814
26.5,17,3321.791,5.37,5.631,1.404625
26.5,17,3321.791,5.37,4.032,1.149459
26.5,17,3321.791,5.37,3.472,0.903512
26.5,17,3321.791,5.37,3,0.724485
26.5,17,3321.791,5.93,6.954,2.152254
26.5,17,3321.791,5.93,5.577,1.846314
26.5,17,3321.791,5.93,3.944,1.385072
26.5,17,3321.791,5.93,3.361,1.179249
26.5,17,3321.791,5.93,2.983,0.892485
26.5,17,3321.791,4.84,7.193,1.169748
26.5,17,3321.791,4.84,5.843,0.985561
26.5,17,3321.791,4.84,4.232,0.875339
26.5,17,3321.791,4.84,3.589,0.65
26.5,17,3321.791,4.84,3.078,0.592521
26.5,17,3321.791,4.9,5.758,1.300499
26.5,17,3321.791,4.9,4.036,1.229606
26.5,17,3321.791,4.9,3.479,1.117002
26.5,17,3321.791,4.9,3.01,0.686912
26.5,17,3321.791,4.9,7.051,0.574971
26.5,17,3321.791,5.99,5.606,2.496521
26.5,17,3321.791,5.99,4.126,2.198656
26.5,17,3321.791,5.99,3.517,1.303495
26.5,17,3321.791,5.99,2.956,1.110536
26.5,17,3321.791,5.99,7.161,1.003354
26.5,24,822.0529,5.27,6.846,2.4329
26.5,24,822.0529,5.27,5.318,2.263441
26.5,24,822.0529,5.27,4.007,1.593449
26.5,24,822.0529,5.27,3.383,1.283601
26.5,24,822.0529,5.27,2.841,1.195788
26.5,24,822.0529,5.79,6.77,3.433038
26.5,24,822.0529,5.79,5.234,2.121668
26.5,24,822.0529,5.79,4.094,1.618551
26.5,24,822.0529,5.79,3.333,1.401347
26.5,24,822.0529,5.79,2.834,1.22031
26.5,24,822.0529,4.71,6.93,2.201184
26.5,24,822.0529,4.71,5.431,1.418887
26.5,24,822.0529,4.71,4.014,1.171428
26.5,24,822.0529,4.71,3.488,0.984639
26.5,24,822.0529,4.71,2.417655,0.963413
26.5,24,822.0529,4.75,6.895,1.98432
26.5,24,822.0529,4.75,5.378,1.62981
26.5,24,822.0529,4.75,4.032,1.538844
26.5,24,822.0529,4.75,3.412,1.030992
26.5,24,822.0529,4.75,2.374563,0.832839
